ATB ID,solvent,value,error_estimate,formula,inchi
943,water,-12.79,0.71,C4H8O2,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
943,hexane,-19.28,1.04,C4H8O2,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
945,water,-14.64,1.18,C5H10O2,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
945,hexane,-22.51,1.01,C5H10O2,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
946,water,-10.54,1.48,C5H10O2,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3"
947,water,-13.61,0.84,C5H10O2,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3"
948,water,-14.57,0.8,C5H10O2,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
948,hexane,-22.77,0.96,C5H10O2,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
950,water,-13.85,0.88,C6H12O2,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
950,hexane,-25.25,1.15,C6H12O2,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
952,water,-12.68,0.94,C6H12O2,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3"
953,water,-9.97,0.77,C6H12O2,"InChI=1S/C6H12O2/c1-4-6(7)8-5(2)3/h5H,4H2,1-3H3"
954,water,-13.1,0.9,C6H12O2,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3"
955,water,-13.1,1.01,C6H12O2,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
955,hexane,-25.51,1.35,C6H12O2,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
956,water,-10.92,1.03,C7H14O2,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
956,hexane,-28.64,1.27,C7H14O2,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
